TimeRange	Country	Average	Count	P90	P95	Histogram
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Afghanistan	7343.6938775510207	147	16344	19165	0-295.49:6;295.49-590.98:2;590.98-886.47:0;886.47-1181.96:0;1181.96-1477.45:2;1477.45-1772.94:1;1772.94-2068.43:7;2068.43-2363.92:8;2363.92-2659.41:2;2659.41-2954.9:3;2954.9-3250.39:2;3250.39-3545.88:6;3545.88-3841.37:6;3841.37-4136.86:3;4136.86-4432.35:5;4432.35-4727.84:4;4727.84-5023.33:7;5023.33-5318.82:1;5318.82-5614.31:7;5614.31-5909.8:2;5909.8-6205.29:4;6205.29-6500.78:4;6500.78-6796.27:5;6796.27-7091.76:6;7091.76-7387.25:4;7387.25-7682.74:3;7682.74-7978.23:2;7978.23-8273.72:4;8273.72-8569.21:2;8569.21-8864.7:1;8864.7-9160.19:2;9160.19-9455.68:1;9455.68-9751.17:3;9751.17-10046.66:2;10046.66-10342.15:1;10342.15-10637.64:1;10637.64-10933.13:0;10933.13-11228.62:1;11228.62-11524.11:3;11524.11-11819.6:1;11819.6-12115.09:0;12115.09-12410.58:0;12410.58-12706.07:1;12706.07-13001.56:0;13001.56-13297.05:1;13297.05-13592.54:3;13592.54-13888.03:0;13888.03-14183.52:1;14183.52-14479.01:0;14479.01-14774.5:0;14774.5-15069.99:1;15069.99-15365.48:0;15365.48-15660.97:0;15660.97-15956.46:0;15956.46-16251.95:1;16251.95-16547.44:1;16547.44-16842.93:0;16842.93-17138.42:1;17138.42-17433.91:2;17433.91-17729.4:1;17729.4-18024.89:1;18024.89-18320.38:0;18320.38-18615.87:1;18615.87-18911.36:0;18911.36-19206.85:1;19206.85-19502.34:0;19502.34-19797.83:1;19797.83-20093.32:1;20093.32-20388.81:0;20388.81-20684.3:0;20684.3-20979.79:0;20979.79-21275.28:0;21275.28-21570.77:1;21570.77-21866.26:0;21866.26-22161.75:0;22161.75-22457.24:0;22457.24-22752.73:0;22752.73-23048.22:0;23048.22-23343.71:0;23343.71-23639.2:0;23639.2-23934.69:0;23934.69-24230.18:0;24230.18-24525.67:0;24525.67-24821.16:0;24821.16-25116.65:0;25116.65-25412.14:0;25412.14-25707.63:1;25707.63-26003.12:0;26003.12-26298.61:0;26298.61-26594.1:0;26594.1-26889.59:0;26889.59-27185.08:0;27185.08-27480.57:0;27480.57-27776.06:1;27776.06-28071.55:0;28071.55-28367.04:0;28367.04-28662.53:0;28662.53-28958.02:0;28958.02-29253.51:1;29253.51-29549:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Albania	4510.8888888888887	72	7975	11569	0-236.64:4;236.64-473.28:4;473.28-709.92:3;709.92-946.56:2;946.56-1183.2:6;1183.2-1419.84:4;1419.84-1656.48:2;1656.48-1893.12:4;1893.12-2129.76:3;2129.76-2366.4:2;2366.4-2603.04:5;2603.04-2839.68:4;2839.68-3076.32:1;3076.32-3312.96:2;3312.96-3549.6:0;3549.6-3786.24:3;3786.24-4022.88:2;4022.88-4259.52:2;4259.52-4496.16:1;4496.16-4732.8:1;4732.8-4969.44:3;4969.44-5206.08:2;5206.08-5442.72:1;5442.72-5679.36:0;5679.36-5916:1;5916-6152.64:2;6152.64-6389.28:0;6389.28-6625.92:0;6625.92-6862.56:0;6862.56-7099.2:1;7099.2-7335.84:0;7335.84-7572.48:2;7572.48-7809.12:1;7809.12-8045.76:0;8045.76-8282.4:0;8282.4-8519.04:0;8519.04-8755.68:0;8755.68-8992.32:0;8992.32-9228.96:0;9228.96-9465.6:0;9465.6-9702.24:0;9702.24-9938.88:0;9938.88-10175.52:0;10175.52-10412.16:0;10412.16-10648.8:1;10648.8-10885.44:0;10885.44-11122.08:0;11122.08-11358.72:0;11358.72-11595.36:0;11595.36-11832:0;11832-12068.64:0;12068.64-12305.28:0;12305.28-12541.92:0;12541.92-12778.56:0;12778.56-13015.2:0;13015.2-13251.84:0;13251.84-13488.48:0;13488.48-13725.12:0;13725.12-13961.76:0;13961.76-14198.4:0;14198.4-14435.04:0;14435.04-14671.68:0;14671.68-14908.32:0;14908.32-15144.96:0;15144.96-15381.6:0;15381.6-15618.24:0;15618.24-15854.88:0;15854.88-16091.52:0;16091.52-16328.16:0;16328.16-16564.8:0;16564.8-16801.44:0;16801.44-17038.08:0;17038.08-17274.72:1;17274.72-17511.36:0;17511.36-17748:0;17748-17984.64:0;17984.64-18221.28:0;18221.28-18457.92:0;18457.92-18694.56:0;18694.56-18931.2:0;18931.2-19167.84:0;19167.84-19404.48:0;19404.48-19641.12:0;19641.12-19877.76:0;19877.76-20114.4:1;20114.4-20351.04:0;20351.04-20587.68:0;20587.68-20824.32:0;20824.32-21060.96:0;21060.96-21297.6:0;21297.6-21534.24:0;21534.24-21770.88:0;21770.88-22007.52:0;22007.52-22244.16:0;22244.16-22480.8:0;22480.8-22717.44:0;22717.44-22954.08:0;22954.08-23190.72:0;23190.72-23427.36:0;23427.36-23664:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Algeria	5464.0157480314965	127	11760	15525	0-293.61:1;293.61-587.22:3;587.22-880.83:3;880.83-1174.44:3;1174.44-1468.05:5;1468.05-1761.66:5;1761.66-2055.27:9;2055.27-2348.88:10;2348.88-2642.49:6;2642.49-2936.1:4;2936.1-3229.71:10;3229.71-3523.32:1;3523.32-3816.93:6;3816.93-4110.54:5;4110.54-4404.15:6;4404.15-4697.76:5;4697.76-4991.37:1;4991.37-5284.98:2;5284.98-5578.59:2;5578.59-5872.2:5;5872.2-6165.81:3;6165.81-6459.42:1;6459.42-6753.03:0;6753.03-7046.64:2;7046.64-7340.25:0;7340.25-7633.86:1;7633.86-7927.47:2;7927.47-8221.08:1;8221.08-8514.69:0;8514.69-8808.3:0;8808.3-9101.91:1;9101.91-9395.52:0;9395.52-9689.13:3;9689.13-9982.74:1;9982.74-10276.35:1;10276.35-10569.96:2;10569.96-10863.57:1;10863.57-11157.18:1;11157.18-11450.79:1;11450.79-11744.4:2;11744.4-12038.01:0;12038.01-12331.62:0;12331.62-12625.23:2;12625.23-12918.84:0;12918.84-13212.45:0;13212.45-13506.06:0;13506.06-13799.67:1;13799.67-14093.28:0;14093.28-14386.89:0;14386.89-14680.5:0;14680.5-14974.11:2;14974.11-15267.72:0;15267.72-15561.33:2;15561.33-15854.94:1;15854.94-16148.55:0;16148.55-16442.16:0;16442.16-16735.77:0;16735.77-17029.38:0;17029.38-17322.99:0;17322.99-17616.6:0;17616.6-17910.21:0;17910.21-18203.82:0;18203.82-18497.43:0;18497.43-18791.04:1;18791.04-19084.65:0;19084.65-19378.26:1;19378.26-19671.87:0;19671.87-19965.48:0;19965.48-20259.09:0;20259.09-20552.7:0;20552.7-20846.31:0;20846.31-21139.92:0;21139.92-21433.53:0;21433.53-21727.14:0;21727.14-22020.75:0;22020.75-22314.36:0;22314.36-22607.97:0;22607.97-22901.58:0;22901.58-23195.19:0;23195.19-23488.8:0;23488.8-23782.41:1;23782.41-24076.02:0;24076.02-24369.63:0;24369.63-24663.24:0;24663.24-24956.85:0;24956.85-25250.46:0;25250.46-25544.07:0;25544.07-25837.68:0;25837.68-26131.29:0;26131.29-26424.9:0;26424.9-26718.51:0;26718.51-27012.12:0;27012.12-27305.73:0;27305.73-27599.34:0;27599.34-27892.95:0;27892.95-28186.56:0;28186.56-28480.17:0;28480.17-28773.78:0;28773.78-29067.39:0;29067.39-29361:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	American Samoa	14706.5	6	24701	24701	0-177.85:1;177.85-355.7:0;355.7-533.55:0;533.55-711.4:0;711.4-889.25:0;889.25-1067.1:0;1067.1-1244.95:1;1244.95-1422.8:0;1422.8-1600.65:0;1600.65-1778.5:0;1778.5-1956.35:0;1956.35-2134.2:0;2134.2-2312.05:0;2312.05-2489.9:0;2489.9-2667.75:0;2667.75-2845.6:0;2845.6-3023.45:0;3023.45-3201.3:1;3201.3-3379.15:0;3379.15-3557:0;3557-3734.85:0;3734.85-3912.7:0;3912.7-4090.55:0;4090.55-4268.4:0;4268.4-4446.25:0;4446.25-4624.1:0;4624.1-4801.95:0;4801.95-4979.8:0;4979.8-5157.65:0;5157.65-5335.5:0;5335.5-5513.35:0;5513.35-5691.2:0;5691.2-5869.05:0;5869.05-6046.9:0;6046.9-6224.75:0;6224.75-6402.6:0;6402.6-6580.45:0;6580.45-6758.3:0;6758.3-6936.15:0;6936.15-7114:0;7114-7291.85:0;7291.85-7469.7:0;7469.7-7647.55:0;7647.55-7825.4:0;7825.4-8003.25:0;8003.25-8181.1:0;8181.1-8358.95:0;8358.95-8536.8:0;8536.8-8714.65:0;8714.65-8892.5:0;8892.5-9070.35:0;9070.35-9248.2:0;9248.2-9426.05:0;9426.05-9603.9:0;9603.9-9781.75:0;9781.75-9959.6:0;9959.6-10137.45:0;10137.45-10315.3:0;10315.3-10493.15:0;10493.15-10671:0;10671-10848.85:0;10848.85-11026.7:0;11026.7-11204.55:1;11204.55-11382.4:0;11382.4-11560.25:0;11560.25-11738.1:0;11738.1-11915.95:0;11915.95-12093.8:0;12093.8-12271.65:0;12271.65-12449.5:0;12449.5-12627.35:0;12627.35-12805.2:0;12805.2-12983.05:0;12983.05-13160.9:0;13160.9-13338.75:0;13338.75-13516.6:1;13516.6-13694.45:0;13694.45-13872.3:0;13872.3-14050.15:0;14050.15-14228:0;14228-14405.85:0;14405.85-14583.7:0;14583.7-14761.55:0;14761.55-14939.4:0;14939.4-15117.25:0;15117.25-15295.1:0;15295.1-15472.95:0;15472.95-15650.8:0;15650.8-15828.65:0;15828.65-16006.5:0;16006.5-16184.35:0;16184.35-16362.2:0;16362.2-16540.05:0;16540.05-16717.9:0;16717.9-16895.75:0;16895.75-17073.6:0;17073.6-17251.45:0;17251.45-17429.3:0;17429.3-17607.15:0;17607.15-17785:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Andorra	1818.5952380952381	42	2859	3975	0-120.64:4;120.64-241.28:0;241.28-361.92:1;361.92-482.56:0;482.56-603.2:0;603.2-723.84:1;723.84-844.48:4;844.48-965.12:3;965.12-1085.76:6;1085.76-1206.4:0;1206.4-1327.04:2;1327.04-1447.68:6;1447.68-1568.32:0;1568.32-1688.96:1;1688.96-1809.6:0;1809.6-1930.24:0;1930.24-2050.88:4;2050.88-2171.52:0;2171.52-2292.16:2;2292.16-2412.8:2;2412.8-2533.44:1;2533.44-2654.08:0;2654.08-2774.72:1;2774.72-2895.36:0;2895.36-3016:0;3016-3136.64:0;3136.64-3257.28:0;3257.28-3377.92:0;3377.92-3498.56:0;3498.56-3619.2:1;3619.2-3739.84:0;3739.84-3860.48:0;3860.48-3981.12:1;3981.12-4101.76:0;4101.76-4222.4:0;4222.4-4343.04:0;4343.04-4463.68:0;4463.68-4584.32:0;4584.32-4704.96:0;4704.96-4825.6:0;4825.6-4946.24:0;4946.24-5066.88:0;5066.88-5187.52:1;5187.52-5308.16:0;5308.16-5428.8:0;5428.8-5549.44:0;5549.44-5670.08:0;5670.08-5790.72:0;5790.72-5911.36:0;5911.36-6032:0;6032-6152.64:0;6152.64-6273.28:0;6273.28-6393.92:0;6393.92-6514.56:0;6514.56-6635.2:0;6635.2-6755.84:0;6755.84-6876.48:0;6876.48-6997.12:0;6997.12-7117.76:0;7117.76-7238.4:0;7238.4-7359.04:0;7359.04-7479.68:0;7479.68-7600.32:0;7600.32-7720.96:0;7720.96-7841.6:0;7841.6-7962.24:0;7962.24-8082.88:0;8082.88-8203.52:0;8203.52-8324.16:0;8324.16-8444.8:0;8444.8-8565.44:0;8565.44-8686.08:0;8686.08-8806.72:0;8806.72-8927.36:0;8927.36-9048:0;9048-9168.64:0;9168.64-9289.28:0;9289.28-9409.92:0;9409.92-9530.56:0;9530.56-9651.2:0;9651.2-9771.84:0;9771.84-9892.48:0;9892.48-10013.12:0;10013.12-10133.76:0;10133.76-10254.4:0;10254.4-10375.04:0;10375.04-10495.68:0;10495.68-10616.32:0;10616.32-10736.96:0;10736.96-10857.6:0;10857.6-10978.24:0;10978.24-11098.88:0;11098.88-11219.52:0;11219.52-11340.16:0;11340.16-11460.8:0;11460.8-11581.44:0;11581.44-11702.08:0;11702.08-11822.72:0;11822.72-11943.36:0;11943.36-12064:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Angola	6034.177419354839	62	13797	16807	0-266.71:2;266.71-533.42:0;533.42-800.13:1;800.13-1066.84:0;1066.84-1333.55:6;1333.55-1600.26:5;1600.26-1866.97:0;1866.97-2133.68:1;2133.68-2400.39:5;2400.39-2667.1:4;2667.1-2933.81:1;2933.81-3200.52:2;3200.52-3467.23:3;3467.23-3733.94:1;3733.94-4000.65:2;4000.65-4267.36:2;4267.36-4534.07:4;4534.07-4800.78:2;4800.78-5067.49:1;5067.49-5334.2:1;5334.2-5600.91:1;5600.91-5867.62:0;5867.62-6134.33:2;6134.33-6401.04:1;6401.04-6667.75:1;6667.75-6934.46:0;6934.46-7201.17:0;7201.17-7467.88:1;7467.88-7734.59:0;7734.59-8001.3:0;8001.3-8268.01:2;8268.01-8534.72:0;8534.72-8801.43:0;8801.43-9068.14:1;9068.14-9334.85:1;9334.85-9601.56:0;9601.56-9868.27:0;9868.27-10134.98:0;10134.98-10401.69:0;10401.69-10668.4:0;10668.4-10935.11:1;10935.11-11201.82:0;11201.82-11468.53:0;11468.53-11735.24:0;11735.24-12001.95:0;12001.95-12268.66:0;12268.66-12535.37:0;12535.37-12802.08:1;12802.08-13068.79:0;13068.79-13335.5:1;13335.5-13602.21:0;13602.21-13868.92:0;13868.92-14135.63:0;14135.63-14402.34:0;14402.34-14669.05:0;14669.05-14935.76:0;14935.76-15202.47:1;15202.47-15469.18:0;15469.18-15735.89:0;15735.89-16002.6:1;16002.6-16269.31:1;16269.31-16536.02:0;16536.02-16802.73:0;16802.73-17069.44:0;17069.44-17336.15:0;17336.15-17602.86:0;17602.86-17869.57:0;17869.57-18136.28:0;18136.28-18402.99:0;18402.99-18669.7:0;18669.7-18936.41:0;18936.41-19203.12:0;19203.12-19469.83:0;19469.83-19736.54:0;19736.54-20003.25:1;20003.25-20269.96:0;20269.96-20536.67:0;20536.67-20803.38:0;20803.38-21070.09:0;21070.09-21336.8:0;21336.8-21603.51:0;21603.51-21870.22:0;21870.22-22136.93:0;22136.93-22403.64:0;22403.64-22670.35:0;22670.35-22937.06:0;22937.06-23203.77:1;23203.77-23470.48:0;23470.48-23737.19:0;23737.19-24003.9:0;24003.9-24270.61:0;24270.61-24537.32:0;24537.32-24804.03:0;24804.03-25070.74:0;25070.74-25337.45:0;25337.45-25604.16:0;25604.16-25870.87:0;25870.87-26137.58:0;26137.58-26404.29:0;26404.29-26671:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Anguilla	2382.2285714285713	35	3943	16623	0-168.38:5;168.38-336.76:0;336.76-505.14:0;505.14-673.52:1;673.52-841.9:7;841.9-1010.28:4;1010.28-1178.66:1;1178.66-1347.04:3;1347.04-1515.42:3;1515.42-1683.8:0;1683.8-1852.18:1;1852.18-2020.56:2;2020.56-2188.94:1;2188.94-2357.32:1;2357.32-2525.7:0;2525.7-2694.08:0;2694.08-2862.46:1;2862.46-3030.84:0;3030.84-3199.22:1;3199.22-3367.6:0;3367.6-3535.98:0;3535.98-3704.36:0;3704.36-3872.74:1;3872.74-4041.12:0;4041.12-4209.5:0;4209.5-4377.88:0;4377.88-4546.26:0;4546.26-4714.64:0;4714.64-4883.02:0;4883.02-5051.4:0;5051.4-5219.78:0;5219.78-5388.16:0;5388.16-5556.54:0;5556.54-5724.92:1;5724.92-5893.3:0;5893.3-6061.68:0;6061.68-6230.06:0;6230.06-6398.44:0;6398.44-6566.82:0;6566.82-6735.2:0;6735.2-6903.58:0;6903.58-7071.96:0;7071.96-7240.34:0;7240.34-7408.72:0;7408.72-7577.1:0;7577.1-7745.48:0;7745.48-7913.86:0;7913.86-8082.24:0;8082.24-8250.62:0;8250.62-8419:0;8419-8587.38:0;8587.38-8755.76:0;8755.76-8924.14:0;8924.14-9092.52:0;9092.52-9260.9:0;9260.9-9429.28:0;9429.28-9597.66:0;9597.66-9766.04:0;9766.04-9934.42:0;9934.42-10102.8:0;10102.8-10271.18:0;10271.18-10439.56:0;10439.56-10607.94:0;10607.94-10776.32:0;10776.32-10944.7:0;10944.7-11113.08:0;11113.08-11281.46:0;11281.46-11449.84:0;11449.84-11618.22:0;11618.22-11786.6:0;11786.6-11954.98:0;11954.98-12123.36:0;12123.36-12291.74:0;12291.74-12460.12:0;12460.12-12628.5:0;12628.5-12796.88:0;12796.88-12965.26:0;12965.26-13133.64:0;13133.64-13302.02:0;13302.02-13470.4:0;13470.4-13638.78:0;13638.78-13807.16:0;13807.16-13975.54:0;13975.54-14143.92:0;14143.92-14312.3:0;14312.3-14480.68:0;14480.68-14649.06:0;14649.06-14817.44:0;14817.44-14985.82:0;14985.82-15154.2:0;15154.2-15322.58:0;15322.58-15490.96:0;15490.96-15659.34:0;15659.34-15827.72:0;15827.72-15996.1:0;15996.1-16164.48:0;16164.48-16332.86:0;16332.86-16501.24:1;16501.24-16669.62:0;16669.62-16838:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Antigua and Barbuda	1563.909090909091	11	2309	2315	0-18.83:1;18.83-37.66:0;37.66-56.49:0;56.49-75.32:0;75.32-94.15:0;94.15-112.98:0;112.98-131.81:0;131.81-150.64:0;150.64-169.47:0;169.47-188.3:0;188.3-207.13:0;207.13-225.96:0;225.96-244.79:0;244.79-263.62:0;263.62-282.45:0;282.45-301.28:0;301.28-320.11:0;320.11-338.94:0;338.94-357.77:0;357.77-376.6:0;376.6-395.43:0;395.43-414.26:0;414.26-433.09:0;433.09-451.92:0;451.92-470.75:1;470.75-489.58:0;489.58-508.41:0;508.41-527.24:0;527.24-546.07:0;546.07-564.9:0;564.9-583.73:0;583.73-602.56:1;602.56-621.39:1;621.39-640.22:0;640.22-659.05:1;659.05-677.88:0;677.88-696.71:0;696.71-715.54:0;715.54-734.37:0;734.37-753.2:0;753.2-772.03:0;772.03-790.86:0;790.86-809.69:0;809.69-828.52:0;828.52-847.35:0;847.35-866.18:0;866.18-885.01:0;885.01-903.84:0;903.84-922.67:0;922.67-941.5:0;941.5-960.33:0;960.33-979.16:0;979.16-997.99:0;997.99-1016.82:0;1016.82-1035.65:0;1035.65-1054.48:0;1054.48-1073.31:0;1073.31-1092.14:0;1092.14-1110.97:0;1110.97-1129.8:0;1129.8-1148.63:0;1148.63-1167.46:0;1167.46-1186.29:0;1186.29-1205.12:0;1205.12-1223.95:0;1223.95-1242.78:0;1242.78-1261.61:0;1261.61-1280.44:0;1280.44-1299.27:0;1299.27-1318.1:0;1318.1-1336.93:0;1336.93-1355.76:0;1355.76-1374.59:0;1374.59-1393.42:0;1393.42-1412.25:0;1412.25-1431.08:0;1431.08-1449.91:1;1449.91-1468.74:0;1468.74-1487.57:0;1487.57-1506.4:1;1506.4-1525.23:0;1525.23-1544.06:0;1544.06-1562.89:0;1562.89-1581.72:0;1581.72-1600.55:0;1600.55-1619.38:0;1619.38-1638.21:0;1638.21-1657.04:0;1657.04-1675.87:0;1675.87-1694.7:0;1694.7-1713.53:1;1713.53-1732.36:1;1732.36-1751.19:0;1751.19-1770.02:0;1770.02-1788.85:0;1788.85-1807.68:0;1807.68-1826.51:0;1826.51-1845.34:0;1845.34-1864.17:0;1864.17-1883:2
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Argentina	5393.5575894114336	3551	11154	15049	0-297.53:49;297.53-595.06:37;595.06-892.59:35;892.59-1190.12:95;1190.12-1487.65:236;1487.65-1785.18:230;1785.18-2082.71:166;2082.71-2380.24:148;2380.24-2677.77:133;2677.77-2975.3:153;2975.3-3272.83:177;3272.83-3570.36:185;3570.36-3867.89:145;3867.89-4165.42:111;4165.42-4462.95:92;4462.95-4760.48:105;4760.48-5058.01:95;5058.01-5355.54:117;5355.54-5653.07:95;5653.07-5950.6:83;5950.6-6248.13:85;6248.13-6545.66:72;6545.66-6843.19:56;6843.19-7140.72:48;7140.72-7438.25:52;7438.25-7735.78:47;7735.78-8033.31:48;8033.31-8330.84:51;8330.84-8628.37:38;8628.37-8925.9:43;8925.9-9223.43:27;9223.43-9520.96:34;9520.96-9818.49:25;9818.49-10116.02:22;10116.02-10413.55:29;10413.55-10711.08:19;10711.08-11008.61:10;11008.61-11306.14:17;11306.14-11603.67:14;11603.67-11901.2:22;11901.2-12198.73:15;12198.73-12496.26:15;12496.26-12793.79:13;12793.79-13091.32:3;13091.32-13388.85:12;13388.85-13686.38:17;13686.38-13983.91:17;13983.91-14281.44:14;14281.44-14578.97:12;14578.97-14876.5:7;14876.5-15174.03:7;15174.03-15471.56:9;15471.56-15769.09:12;15769.09-16066.62:8;16066.62-16364.15:11;16364.15-16661.68:5;16661.68-16959.21:6;16959.21-17256.74:8;17256.74-17554.27:1;17554.27-17851.8:5;17851.8-18149.33:8;18149.33-18446.86:3;18446.86-18744.39:3;18744.39-19041.92:3;19041.92-19339.45:4;19339.45-19636.98:3;19636.98-19934.51:3;19934.51-20232.04:3;20232.04-20529.57:3;20529.57-20827.1:8;20827.1-21124.63:2;21124.63-21422.16:3;21422.16-21719.69:1;21719.69-22017.22:4;22017.22-22314.75:3;22314.75-22612.28:1;22612.28-22909.81:4;22909.81-23207.34:3;23207.34-23504.87:3;23504.87-23802.4:4;23802.4-24099.93:5;24099.93-24397.46:2;24397.46-24694.99:3;24694.99-24992.52:2;24992.52-25290.05:2;25290.05-25587.58:2;25587.58-25885.11:1;25885.11-26182.64:3;26182.64-26480.17:1;26480.17-26777.7:3;26777.7-27075.23:2;27075.23-27372.76:3;27372.76-27670.29:1;27670.29-27967.82:2;27967.82-28265.35:0;28265.35-28562.88:1;28562.88-28860.41:0;28860.41-29157.94:2;29157.94-29455.47:3;29455.47-29753:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Armenia	6907.0784313725489	51	16359	22232	0-297.4:3;297.4-594.8:0;594.8-892.2:0;892.2-1189.6:0;1189.6-1487:2;1487-1784.4:4;1784.4-2081.8:1;2081.8-2379.2:1;2379.2-2676.6:1;2676.6-2974:5;2974-3271.4:3;3271.4-3568.8:1;3568.8-3866.2:2;3866.2-4163.6:2;4163.6-4461:2;4461-4758.4:1;4758.4-5055.8:1;5055.8-5353.2:1;5353.2-5650.6:0;5650.6-5948:2;5948-6245.4:0;6245.4-6542.8:1;6542.8-6840.2:2;6840.2-7137.6:0;7137.6-7435:0;7435-7732.4:0;7732.4-8029.8:0;8029.8-8327.2:4;8327.2-8624.6:0;8624.6-8922:0;8922-9219.4:1;9219.4-9516.8:0;9516.8-9814.2:0;9814.2-10111.6:0;10111.6-10409:1;10409-10706.4:0;10706.4-11003.8:0;11003.8-11301.2:1;11301.2-11598.6:1;11598.6-11896:0;11896-12193.4:0;12193.4-12490.8:0;12490.8-12788.2:0;12788.2-13085.6:1;13085.6-13383:0;13383-13680.4:0;13680.4-13977.8:1;13977.8-14275.2:0;14275.2-14572.6:0;14572.6-14870:0;14870-15167.4:0;15167.4-15464.8:0;15464.8-15762.2:0;15762.2-16059.6:0;16059.6-16357:2;16357-16654.4:0;16654.4-16951.8:0;16951.8-17249.2:0;17249.2-17546.6:0;17546.6-17844:0;17844-18141.4:0;18141.4-18438.8:0;18438.8-18736.2:0;18736.2-19033.6:0;19033.6-19331:0;19331-19628.4:0;19628.4-19925.8:0;19925.8-20223.2:0;20223.2-20520.6:0;20520.6-20818:0;20818-21115.4:0;21115.4-21412.8:1;21412.8-21710.2:0;21710.2-22007.6:0;22007.6-22305:1;22305-22602.4:0;22602.4-22899.8:0;22899.8-23197.2:0;23197.2-23494.6:0;23494.6-23792:0;23792-24089.4:0;24089.4-24386.8:0;24386.8-24684.2:0;24684.2-24981.6:0;24981.6-25279:0;25279-25576.4:0;25576.4-25873.8:0;25873.8-26171.2:0;26171.2-26468.6:0;26468.6-26766:0;26766-27063.4:0;27063.4-27360.8:0;27360.8-27658.2:1;27658.2-27955.6:0;27955.6-28253:0;28253-28550.4:0;28550.4-28847.8:0;28847.8-29145.2:0;29145.2-29442.6:0;29442.6-29740:1
